place_id,place_name,state,description,num_attractions,num_travel_options
1,Mahabaleshwar,Maharashtra,Hill station famous for strawberries scenic viewpoints and pleasant climate,4,250
2,Lonavala,Maharashtra,Popular hill station near Mumbai known for waterfalls and chikki,4,250
3,Khandala,Maharashtra,Hill station offering valleys misty hills and trekking routes,3,250
4,Matheran,Maharashtra,Vehicle free hill station known for viewpoints and toy train,4,250
5,Alibaug,Maharashtra,Coastal town famous for beaches forts and water sports,4,250
6,Murud,Maharashtra,Beach destination known for Murud Janjira fort,3,250
7,Tarkarli,Maharashtra,Beach town famous for scuba diving and clear waters,3,250
8,Ganpatipule,Maharashtra,Pilgrimage beach town with Ganpati temple and scenic coast,3,250
9,Ratnagiri,Maharashtra,Coastal city known for beaches mangoes and historical forts,3,250
10,Sindhudurg,Maharashtra,Historic coastal fort and beach destination,3,250
11,Panchgani,Maharashtra,Hill station known for table land and scenic valleys,3,250
12,Igatpuri,Maharashtra,Hill town famous for Vipassana meditation center,3,250
13,Bhandardara,Maharashtra,Nature destination with lakes waterfalls and trekking spots,3,250
14,Ajanta,Maharashtra,World famous rock cut caves with ancient Buddhist paintings,3,250
15,Ellora,Maharashtra,UNESCO site with Hindu Buddhist and Jain rock cut caves,3,250
16,Aurangabad,Maharashtra,Historic city near Ajanta Ellora with rich Mughal heritage,3,250
17,Nashik,Maharashtra,Religious city famous for vineyards and Kumbh Mela,3,250
18,Shirdi,Maharashtra,Pilgrimage town of Sai Baba temple,3,250
19,Kolhapur,Maharashtra,City known for Mahalaxmi temple and traditional cuisine,3,250
20,Satara,Maharashtra,Historic city surrounded by forts and waterfalls,3,250
21,Raigad,Maharashtra,Historic fort capital of Chhatrapati Shivaji Maharaj,3,250
22,Pratapgad,Maharashtra,Famous fort with historical significance and scenic views,3,250
23,Chiplun,Maharashtra,Scenic town on Konkan coast with rivers and greenery,3,250
24,Dapoli,Maharashtra,Coastal hill town with beaches and calm atmosphere,3,250
25,Harihareshwar,Maharashtra,Beach town with temple and serene surroundings,3,250
26,Guhagar,Maharashtra,Peaceful beach destination in Konkan region,3,250
27,Amboli,Maharashtra,Hill station known for mist waterfalls and biodiversity,3,250
28,Lavasa,Maharashtra,Planned hill city inspired by European architecture,3,250
29,Pune,Maharashtra,Cultural city known for education IT and historical sites,3,250
30,Mumbai,Maharashtra,Financial capital of India known for beaches nightlife and landmarks,4,250
31,Nagpur,Maharashtra,Orange city and geographical center of India,3,250
32,Amravati,Maharashtra,City near Melghat tiger reserve,4,250
33,Chandrapur,Maharashtra,City famous for Tadoba Andhari tiger reserve,3,250
34,Tadoba,Maharashtra,Popular wildlife sanctuary and tiger reserve,3,250
35,Melghat,Maharashtra,Tiger reserve in Satpura mountain ranges,3,250
36,Solapur,Maharashtra,City known for temples and textile industry,3,250
37,Akkalkot,Maharashtra,Pilgrimage town of Swami Samarth Maharaj,3,250
38,Osmanabad,Maharashtra,Historic city near Tuljapur temple,3,250
39,Tuljapur,Maharashtra,Famous for Tulja Bhavani temple,3,250
40,Beed,Maharashtra,Historic city with forts and temples,3,250
41,Jalgaon,Maharashtra,City near Ajanta caves known for banana production,3,250
42,Dhule,Maharashtra,Gateway to Satpura ranges with tribal culture,3,250
43,Nanded,Maharashtra,Religious city famous for Hazur Sahib Gurudwara,3,250
44,Parbhani,Maharashtra,City known for agriculture and education,3,250
45,Hingoli,Maharashtra,Religious town with Aundha Nagnath temple,3,250
46,Washim,Maharashtra,Historic town with temples and forts,3,250
47,Wardha,Maharashtra,Associated with Mahatma Gandhi and Sevagram Ashram,3,250
48,Yavatmal,Maharashtra,City near forest regions and wildlife,3,250
49,Karjat,Maharashtra,Hill town popular for trekking and weekend getaways,3,250
50,Bhimashankar,Maharashtra,Wildlife sanctuary and one of the Jyotirlingas,3,250
51,Kaas Plateau,Maharashtra,UNESCO world heritage site known for seasonal wildflowers,3,250
52,Jawhar,Maharashtra,Tribal hill station with waterfalls and scenic viewpoints,3,250
53,Wilson Hills,Maharashtra,Less crowded hill station with panoramic valley views,3,250
54,Toranmal,Maharashtra,Hill station in Satpura ranges popular among locals,3,250
55,Harishchandragad,Maharashtra,Ancient fort famous for trekking and Konkan Kada,3,250
56,Lohagad,Maharashtra,Popular trekking fort near Lonavala,3,250
57,Visapur Fort,Maharashtra,Large fort known for monsoon treks and ruins,3,250
58,Sinhagad,Maharashtra,Historic fort near Pune with scenic views,4,250
59,Rajmachi,Maharashtra,Twin forts popular for night trekking and camping,4,250
60,Devkund,Maharashtra,Waterfall trek destination near Bhira village,5,250
61,Tamhini Ghat,Maharashtra,Mountain pass famous for monsoon waterfalls,5,250
62,Malshej Ghat,Maharashtra,Scenic mountain pass with mist and bird watching,5,250
63,Rajapur,Maharashtra,Konkan town famous for Alphonso mangoes,5,250
64,Velas,Maharashtra,Beach village known for turtle festival,5,250
65,Kashid,Maharashtra,White sand beach destination near Alibaug,5,250
66,Nagaon,Maharashtra,Popular beach near Mumbai for water sports,5,250
67,Aarey Colony,Maharashtra,Green forest area inside Mumbai city,5,250
68,Elephanta Island,Maharashtra,UNESCO heritage site with ancient cave temples,4,250
69,Kanheri Caves,Maharashtra,Buddhist caves located in Sanjay Gandhi National Park,4,250
70,Sanjay Gandhi National Park,Maharashtra,Urban national park with wildlife and caves,4,250
71,Girgaon Chowpatty,Maharashtra,Popular city beach in Mumbai,4,250
72,Junnar,Maharashtra,Historic town with ancient caves and forts,4,250
73,Bhimashankar Wildlife Sanctuary,Maharashtra,Forest reserve around Bhimashankar temple,4,250
74,Rajgad,Maharashtra,Capital fort of Shivaji Maharaj with trekking routes,4,250
75,Panhala,Maharashtra,Historic fort near Kolhapur with scenic views,4,250
76,Vengurla,Maharashtra,Coastal town with serene beaches and greenery,4,250
77,Malvan,Maharashtra,Coastal town famous for beaches and Malvani cuisine,4,250
78,Sawantwadi,Maharashtra,Historic town with royal palace and lakes,4,250
79,Chikhaldara,Maharashtra,Only hill station in Vidarbha region,4,250
80,Paithan,Maharashtra,Ancient town known for Paithani sarees,4,250
81,Aurangabad Caves,Maharashtra,Rock cut caves near Aurangabad city,4,250
82,Pench National Park,Maharashtra,Wildlife reserve famous for tigers,4,250
83,Umred Karhandla,Maharashtra,Tiger reserve near Nagpur,4,250
84,Devgad,Maharashtra,Coastal town with fort and beaches,4,250
85,Shivneri Fort,Maharashtra,Birthplace of Chhatrapati Shivaji Maharaj,4,250
86,Bhandara,Maharashtra,Known for lakes and natural beauty,4,250
87,Gondia,Maharashtra,City surrounded by forests and rivers,4,250
88,Chandoli National Park,Maharashtra,Wildlife sanctuary in Western Ghats,4,250
89,Koyna Wildlife Sanctuary,Maharashtra,Forest reserve with dam and wildlife,4,250
90,Kolad,Maharashtra,Adventure destination famous for river rafting,7,250
91,Goa,Unknown,Auto-added from live APIs,6,0
92,Manali,Unknown,Auto-added from live APIs,20,0
93,Chorla Ghat,Unknown,Auto-added from live APIs,2,0
94,jaipur,Unknown,Auto-added from live APIs,20,0
95,Varanasi,Unknown,Auto-added from live APIs,20,0
96,Mathura,Unknown,Auto-added from live APIs,3,0
97,prayagraj,Unknown,Auto-added from live APIs,15,0
98,Rameshwaram,Unknown,Auto-added from live APIs,4,0
99,Udaipur,Unknown,Auto-added from live APIs,20,0
100,Pilani,Unknown,Auto-added from live APIs,7,0
