travel_id,place_id,place_name,source_city,travel_mode,approx_cost,approx_duration_hours,cost_per_hour,cost_category
1,1,Mahabaleshwar,Mumbai,Bus,1561,9.75,160.1,Economy
2,1,Mahabaleshwar,Mumbai,Train,1205,10.02,120.26,Economy
3,1,Mahabaleshwar,Mumbai,Flight,4917,1.12,4390.18,Standard
4,1,Mahabaleshwar,Mumbai,Own_Car,3478,6.55,530.99,Standard
5,1,Mahabaleshwar,Mumbai,Bike,1257,5.68,221.3,Economy
6,1,Mahabaleshwar,Pune,Bus,1229,4.24,289.86,Economy
7,1,Mahabaleshwar,Pune,Train,394,8.08,48.76,Budget
8,1,Mahabaleshwar,Pune,Flight,4352,2.78,1565.47,Standard
9,1,Mahabaleshwar,Pune,Own_Car,3957,9.38,421.86,Standard
10,1,Mahabaleshwar,Pune,Bike,1578,11.29,139.77,Economy
11,1,Mahabaleshwar,Nagpur,Bus,605,4.66,129.83,Budget
12,1,Mahabaleshwar,Nagpur,Train,935,8.92,104.82,Budget
13,1,Mahabaleshwar,Nagpur,Flight,3508,2.78,1261.87,Standard
14,1,Mahabaleshwar,Nagpur,Own_Car,3817,8.31,459.33,Standard
15,1,Mahabaleshwar,Nagpur,Bike,912,11.06,82.46,Budget
16,1,Mahabaleshwar,Nashik,Bus,1108,4.52,245.13,Economy
17,1,Mahabaleshwar,Nashik,Train,1492,9.25,161.3,Economy
18,1,Mahabaleshwar,Nashik,Flight,4541,2.14,2121.96,Standard
19,1,Mahabaleshwar,Nashik,Own_Car,3865,4.36,886.47,Standard
20,1,Mahabaleshwar,Nashik,Bike,1064,7.71,138.0,Economy
21,1,Mahabaleshwar,Aurangabad,Bus,1463,9.51,153.84,Economy
22,1,Mahabaleshwar,Aurangabad,Train,302,6.33,47.71,Budget
23,1,Mahabaleshwar,Aurangabad,Flight,5413,1.64,3300.61,Premium
24,1,Mahabaleshwar,Aurangabad,Own_Car,4825,8.61,560.39,Standard
25,1,Mahabaleshwar,Aurangabad,Bike,968,8.56,113.08,Budget
26,1,Mahabaleshwar,Thane,Bus,603,9.75,61.85,Budget
27,1,Mahabaleshwar,Thane,Train,925,7.35,125.85,Budget
28,1,Mahabaleshwar,Thane,Flight,4577,2.06,2221.84,Standard
29,1,Mahabaleshwar,Thane,Own_Car,4185,4.67,896.15,Standard
30,1,Mahabaleshwar,Thane,Bike,1301,10.2,127.55,Economy
31,1,Mahabaleshwar,Navi Mumbai,Bus,1172,5.11,229.35,Economy
32,1,Mahabaleshwar,Navi Mumbai,Train,1392,6.28,221.66,Economy
33,1,Mahabaleshwar,Navi Mumbai,Flight,6461,1.17,5522.22,Premium
34,1,Mahabaleshwar,Navi Mumbai,Own_Car,4937,7.25,680.97,Standard
35,1,Mahabaleshwar,Navi Mumbai,Bike,1496,9.27,161.38,Economy
36,1,Mahabaleshwar,Kalyan,Bus,1464,9.6,152.5,Economy
37,1,Mahabaleshwar,Kalyan,Train,1667,10.4,160.29,Economy
38,1,Mahabaleshwar,Kalyan,Flight,4135,2.39,1730.13,Standard
39,1,Mahabaleshwar,Kalyan,Own_Car,3675,9.13,402.52,Standard
40,1,Mahabaleshwar,Kalyan,Bike,705,5.09,138.51,Budget
41,1,Mahabaleshwar,Dombivli,Bus,832,5.61,148.31,Budget
42,1,Mahabaleshwar,Dombivli,Train,1876,9.61,195.21,Economy
43,1,Mahabaleshwar,Dombivli,Flight,6126,2.48,2470.16,Premium
44,1,Mahabaleshwar,Dombivli,Own_Car,2959,9.45,313.12,Economy
45,1,Mahabaleshwar,Dombivli,Bike,1873,11.6,161.47,Economy
46,1,Mahabaleshwar,Amravati,Bus,1238,4.15,298.31,Economy
47,1,Mahabaleshwar,Amravati,Train,1376,7.41,185.7,Economy
48,1,Mahabaleshwar,Amravati,Flight,2668,1.15,2320.0,Economy
49,1,Mahabaleshwar,Amravati,Own_Car,4789,5.7,840.18,Standard
50,1,Mahabaleshwar,Amravati,Bike,1140,6.09,187.19,Economy
51,1,Mahabaleshwar,Kolhapur,Bus,525,7.0,75.0,Budget
52,1,Mahabaleshwar,Kolhapur,Train,1431,4.1,349.02,Economy
53,1,Mahabaleshwar,Kolhapur,Flight,6997,3.03,2309.24,Premium
54,1,Mahabaleshwar,Kolhapur,Own_Car,4258,4.32,985.65,Standard
55,1,Mahabaleshwar,Kolhapur,Bike,1645,8.48,193.99,Economy
56,1,Mahabaleshwar,Solapur,Bus,1250,4.34,288.02,Economy
57,1,Mahabaleshwar,Solapur,Train,1885,10.35,182.13,Economy
58,1,Mahabaleshwar,Solapur,Flight,6453,1.26,5121.43,Premium
59,1,Mahabaleshwar,Solapur,Own_Car,4598,9.2,499.78,Standard
60,1,Mahabaleshwar,Solapur,Bike,583,9.77,59.67,Budget
61,1,Mahabaleshwar,Sangli,Bus,488,6.27,77.83,Budget
62,1,Mahabaleshwar,Sangli,Train,368,8.07,45.6,Budget
63,1,Mahabaleshwar,Sangli,Flight,3174,2.38,1333.61,Standard
64,1,Mahabaleshwar,Sangli,Own_Car,3706,6.4,579.06,Standard
65,1,Mahabaleshwar,Sangli,Bike,1333,8.28,160.99,Economy
66,1,Mahabaleshwar,Satara,Bus,608,9.56,63.6,Budget
67,1,Mahabaleshwar,Satara,Train,351,7.91,44.37,Budget
68,1,Mahabaleshwar,Satara,Flight,4513,3.47,1300.58,Standard
69,1,Mahabaleshwar,Satara,Own_Car,1982,8.39,236.23,Economy
70,1,Mahabaleshwar,Satara,Bike,1906,11.91,160.03,Economy
71,1,Mahabaleshwar,Ratnagiri,Bus,1254,7.69,163.07,Economy
72,1,Mahabaleshwar,Ratnagiri,Train,451,10.12,44.57,Budget
73,1,Mahabaleshwar,Ratnagiri,Flight,6540,1.6,4087.5,Premium
74,1,Mahabaleshwar,Ratnagiri,Own_Car,2294,5.3,432.83,Economy
75,1,Mahabaleshwar,Ratnagiri,Bike,741,11.87,62.43,Budget
76,1,Mahabaleshwar,Sindhudurg,Bus,476,8.9,53.48,Budget
77,1,Mahabaleshwar,Sindhudurg,Train,733,9.09,80.64,Budget
78,1,Mahabaleshwar,Sindhudurg,Flight,3267,2.44,1338.93,Standard
79,1,Mahabaleshwar,Sindhudurg,Own_Car,1543,8.09,190.73,Economy
80,1,Mahabaleshwar,Sindhudurg,Bike,1900,5.8,327.59,Economy
81,1,Mahabaleshwar,Latur,Bus,894,5.03,177.73,Budget
82,1,Mahabaleshwar,Latur,Train,610,7.12,85.67,Budget
83,1,Mahabaleshwar,Latur,Flight,5937,2.47,2403.64,Premium
84,1,Mahabaleshwar,Latur,Own_Car,4523,5.88,769.22,Standard
85,1,Mahabaleshwar,Latur,Bike,1134,5.62,201.78,Economy
86,1,Mahabaleshwar,Osmanabad,Bus,1037,4.65,223.01,Economy
87,1,Mahabaleshwar,Osmanabad,Train,1304,4.01,325.19,Economy
88,1,Mahabaleshwar,Osmanabad,Flight,5797,3.1,1870.0,Premium
89,1,Mahabaleshwar,Osmanabad,Own_Car,2729,6.6,413.48,Economy
90,1,Mahabaleshwar,Osmanabad,Bike,687,5.45,126.06,Budget
91,1,Mahabaleshwar,Beed,Bus,1054,8.17,129.01,Economy
92,1,Mahabaleshwar,Beed,Train,722,6.51,110.91,Budget
93,1,Mahabaleshwar,Beed,Flight,4906,2.09,2347.37,Standard
94,1,Mahabaleshwar,Beed,Own_Car,3213,9.57,335.74,Standard
95,1,Mahabaleshwar,Beed,Bike,971,9.91,97.98,Budget
96,1,Mahabaleshwar,Jalgaon,Bus,564,4.39,128.47,Budget
97,1,Mahabaleshwar,Jalgaon,Train,309,4.36,70.87,Budget
98,1,Mahabaleshwar,Jalgaon,Flight,6554,2.77,2366.06,Premium
99,1,Mahabaleshwar,Jalgaon,Own_Car,4429,6.2,714.35,Standard
100,1,Mahabaleshwar,Jalgaon,Bike,1668,8.75,190.63,Economy
101,1,Mahabaleshwar,Dhule,Bus,1422,5.1,278.82,Economy
102,1,Mahabaleshwar,Dhule,Train,1557,9.4,165.64,Economy
103,1,Mahabaleshwar,Dhule,Flight,3126,2.88,1085.42,Standard
104,1,Mahabaleshwar,Dhule,Own_Car,1855,6.8,272.79,Economy
