stay_id,spot_id,place_id,place_name,spot_name,stay_name,price_per_night,budget_range
1,1,1,Mahabaleshwar,Venna Lake,Venna Lake View Lodge,1200,Low
2,1,1,Mahabaleshwar,Venna Lake,Mapro Garden Homestay,2800,Mid
3,2,1,Mahabaleshwar,Arthur Seat,Bhushi Dam Guest House,1500,Low
4,2,1,Mahabaleshwar,Arthur Seat,Lion Point Hill Resort,4200,High
5,3,1,Mahabaleshwar,Wilson Point,Khandala Valley Inn,2200,Mid
6,3,1,Mahabaleshwar,Wilson Point,Duke Nose Cliff Stay,4800,High
7,4,1,Mahabaleshwar,Mapro Garden,Matheran Forest Cottage,1800,Mid
8,4,1,Mahabaleshwar,Mapro Garden,Panorama Point Resort,5200,High
9,5,2,Lonavala,Bhushi Dam,Alibaug Beachside Lodge,2500,Mid
10,5,2,Lonavala,Bhushi Dam,Kolaba Fort Sea View Resort,6000,High
11,6,2,Lonavala,Lion Point,Murud Janjira Homestay,1500,Low
12,6,2,Lonavala,Lion Point,Murud Beach Resort,4500,High
13,7,2,Lonavala,Rajmachi Point,Tarkarli MTDC Cottage,2000,Mid
14,7,2,Lonavala,Rajmachi Point,Devbagh Beach Resort,5500,High
15,8,2,Lonavala,Karla Caves,Ganpatipule Temple Stay,1200,Low
16,8,2,Lonavala,Karla Caves,Ganpatipule Beach Resort,4800,High
17,9,3,Khandala,Duke Nose,Raigad Fort Base Lodge,1400,Low
18,9,3,Khandala,Duke Nose,Raigad Hill View Resort,3500,Mid
19,10,3,Khandala,Amrutanjan Point,Elephanta Island Guest House,1800,Mid
20,10,3,Khandala,Amrutanjan Point,Mumbai Harbour View Hotel,5200,High
21,11,3,Khandala,Shooting Point,Ajanta Cave View Lodge,1600,Low
22,11,3,Khandala,Shooting Point,Ajanta Heritage Resort,4200,High
23,12,4,Matheran,Panorama Point,Ellora Cave Stay Inn,1700,Low
24,12,4,Matheran,Panorama Point,Ellora Royal Resort,4800,High
25,13,4,Matheran,Charlotte Lake,Aurangabad City Lodge,2000,Mid
26,13,4,Matheran,Charlotte Lake,Aurangabad Palace Hotel,5500,High
27,14,4,Matheran,Echo Point,Panchgani Hilltop Homestay,2200,Mid
28,14,4,Matheran,Echo Point,Panchgani Valley Resort,5000,High
29,15,4,Matheran,One Tree Hill,Sinhagad Base Lodge,1200,Low
30,15,4,Matheran,One Tree Hill,Sinhagad Mountain Resort,3800,Mid
31,16,5,Alibaug,Alibaug Beach,Lavasa Lakeside Inn,2600,Mid
32,16,5,Alibaug,Alibaug Beach,Lavasa Luxury Resort,6200,High
33,17,5,Alibaug,Kolaba Fort,Bhimashankar Forest Lodge,1800,Mid
34,17,5,Alibaug,Kolaba Fort,Bhimashankar Eco Resort,4500,High
35,18,5,Alibaug,Varsoli Beach,Nashik Vineyard Stay,2800,Mid
36,18,5,Alibaug,Varsoli Beach,Nashik Wine Resort,6500,High
37,19,5,Alibaug,Nagaon Beach,Trimbakeshwar Temple Lodge,1000,Low
38,19,5,Alibaug,Nagaon Beach,Trimbak Hill Resort,4000,High
39,20,6,Murud,Murud Janjira Fort,Shirdi Sai Guest House,1200,Low
40,20,6,Murud,Murud Janjira Fort,Shirdi Comfort Hotel,3000,Mid
41,21,6,Murud,Murud Beach,Kolhapur City Inn,1800,Mid
42,21,6,Murud,Murud Beach,Kolhapur Heritage Palace,5200,High
43,22,6,Murud,Datta Mandir,Ratnagiri Coastal Homestay,1500,Low
44,22,6,Murud,Datta Mandir,Ratnagiri Sea View Resort,4800,High
45,23,7,Tarkarli,Tarkarli Beach,Chiplun Riverside Lodge,1400,Low
46,23,7,Tarkarli,Tarkarli Beach,Chiplun Green Valley Resort,3600,Mid
47,24,7,Tarkarli,Devbagh Beach,Amboli Hill Homestay,1600,Low
48,24,7,Tarkarli,Devbagh Beach,Amboli Misty Resort,4200,High
49,25,7,Tarkarli,Karli Backwaters,Sindhudurg Fort Lodge,1300,Low
50,25,7,Tarkarli,Karli Backwaters,Sindhudurg Coastal Resort,3900,Mid
51,26,8,Ganpatipule,Ganpatipule Temple,Dapoli Beach Cottage,1800,Mid
52,26,8,Ganpatipule,Ganpatipule Temple,Dapoli Sea Breeze Resort,4500,High
53,27,8,Ganpatipule,Ganpatipule Beach,Alibaug Nagaon Stay,2000,Mid
54,27,8,Ganpatipule,Ganpatipule Beach,Nagaon Beach Resort,5200,High
55,28,8,Ganpatipule,Jaigad Fort,Tamhini Ghat Nature Lodge,1400,Low
56,28,8,Ganpatipule,Jaigad Fort,Tamhini Forest Resort,3800,Mid
57,29,9,Ratnagiri,Bhatye Beach,Lonavala Hill View Hotel,2600,Mid
58,29,9,Ratnagiri,Bhatye Beach,Lonavala Luxury Villa Stay,7000,High
59,30,9,Ratnagiri,Thibaw Palace,Karla Cave Guest House,1500,Low
60,30,9,Ratnagiri,Thibaw Palace,Karla Heritage Resort,4200,High
61,31,9,Ratnagiri,Pawas Village,Bhandardara Lake Lodge,1800,Mid
