spot_id,place_id,place_name,state,spot_name,description,num_dining_options,num_stay_options,avg_dining_price,avg_stay_price,min_dining_price,max_dining_price,min_stay_price,max_stay_price
1,1,Mahabaleshwar,Maharashtra,Venna Lake,Popular lake for boating and leisure,3,2,400.0,2000.0,150,700,1200,2800
2,1,Mahabaleshwar,Maharashtra,Arthur Seat,Scenic viewpoint overlooking deep valleys,2,2,250.0,2850.0,100,400,1500,4200
3,1,Mahabaleshwar,Maharashtra,Wilson Point,Highest point famous for sunrise,2,2,210.0,3500.0,120,300,2200,4800
4,1,Mahabaleshwar,Maharashtra,Mapro Garden,Famous food and strawberry outlet,2,2,475.0,3500.0,350,600,1800,5200
5,2,Lonavala,Maharashtra,Bhushi Dam,Seasonal waterfall and picnic spot,3,2,226.67,4250.0,80,450,2500,6000
6,2,Lonavala,Maharashtra,Lion Point,Valley viewpoint with misty views,2,2,285.0,3000.0,70,500,1500,4500
7,2,Lonavala,Maharashtra,Rajmachi Point,Viewpoint facing Rajmachi fort,2,2,300.0,3750.0,200,400,2000,5500
8,2,Lonavala,Maharashtra,Karla Caves,Ancient Buddhist rock cut caves,2,2,235.0,3000.0,120,350,1200,4800
9,3,Khandala,Maharashtra,Duke Nose,Cliff viewpoint and trekking spot,2,2,320.0,2450.0,90,550,1400,3500
10,3,Khandala,Maharashtra,Amrutanjan Point,Popular valley viewpoint,2,2,175.0,3500.0,100,250,1800,5200
11,3,Khandala,Maharashtra,Shooting Point,Film shooting location,2,2,450.0,2900.0,300,600,1600,4200
12,4,Matheran,Maharashtra,Panorama Point,Wide panoramic hill views,2,2,250.0,3250.0,120,380,1700,4800
13,4,Matheran,Maharashtra,Charlotte Lake,Water reservoir and picnic area,2,2,325.0,3750.0,150,500,2000,5500
14,4,Matheran,Maharashtra,Echo Point,Natural echo location,2,2,190.0,3600.0,80,300,2200,5000
15,4,Matheran,Maharashtra,One Tree Hill,Unique hilltop viewpoint,2,2,275.0,2500.0,100,450,1200,3800
16,5,Alibaug,Maharashtra,Alibaug Beach,Main beach with sunset views,2,2,475.0,4400.0,250,700,2600,6200
17,5,Alibaug,Maharashtra,Kolaba Fort,Sea fort near coastline,2,2,240.0,3150.0,80,400,1800,4500
18,5,Alibaug,Maharashtra,Varsoli Beach,Quiet beach near town,2,2,475.0,4650.0,350,600,2800,6500
19,5,Alibaug,Maharashtra,Nagaon Beach,Water sports beach,2,2,350.0,2500.0,200,500,1000,4000
20,6,Murud,Maharashtra,Murud Janjira Fort,Historic island fort,2,2,270.0,2100.0,90,450,1200,3000
21,6,Murud,Maharashtra,Murud Beach,Long sandy beach,2,2,350.0,3500.0,100,600,1800,5200
22,6,Murud,Maharashtra,Datta Mandir,Local religious temple,2,2,215.0,3150.0,180,250,1500,4800
23,7,Tarkarli,Maharashtra,Tarkarli Beach,Clear water beach,2,2,475.0,2500.0,300,650,1400,3600
24,7,Tarkarli,Maharashtra,Devbagh Beach,Backwater and beach confluence,2,2,550.0,2900.0,400,700,1600,4200
25,7,Tarkarli,Maharashtra,Karli Backwaters,Boat ride experience,2,2,235.0,2600.0,120,350,1300,3900
26,8,Ganpatipule,Maharashtra,Ganpatipule Temple,Beachside Ganesh temple,2,2,275.0,3150.0,150,400,1800,4500
27,8,Ganpatipule,Maharashtra,Ganpatipule Beach,White sand beach,2,2,500.0,3600.0,300,700,2000,5200
28,8,Ganpatipule,Maharashtra,Jaigad Fort,Fort overlooking creek,2,2,220.0,2600.0,90,350,1400,3800
29,9,Ratnagiri,Maharashtra,Bhatye Beach,Scenic Ratnagiri beach,2,2,350.0,4800.0,200,500,2600,7000
30,9,Ratnagiri,Maharashtra,Thibaw Palace,Historical palace,2,2,475.0,2850.0,300,650,1500,4200
31,9,Ratnagiri,Maharashtra,Pawas Village,Spiritual retreat village,2,2,275.0,3400.0,200,350,1800,5000
32,10,Sindhudurg,Maharashtra,Sindhudurg Fort,Historic sea fort,2,2,375.0,4250.0,150,600,2000,6500
33,10,Sindhudurg,Maharashtra,Malvan Beach,Popular Konkan beach,2,2,350.0,2900.0,250,450,1600,4200
34,10,Sindhudurg,Maharashtra,Tsunami Island,Water sports location,2,2,525.0,2500.0,300,750,1400,3600
35,11,Panchgani,Maharashtra,Table Land,Asia largest plateau,2,2,240.0,3150.0,80,400,1800,4500
36,11,Panchgani,Maharashtra,Sydney Point,Valley viewpoint,2,2,220.0,1900.0,90,350,1000,2800
37,11,Panchgani,Maharashtra,Parsi Point,Popular scenic spot,2,2,310.0,2450.0,120,500,1400,3500
38,12,Igatpuri,Maharashtra,Vipassana Center,Meditation retreat,2,2,275.0,2900.0,200,350,1600,4200
39,12,Igatpuri,Maharashtra,Ashoka Waterfall,Seasonal waterfall,2,2,300.0,4000.0,150,450,2200,5800
40,12,Igatpuri,Maharashtra,Tringalwadi Fort,Trekking fort,2,2,275.0,2750.0,200,350,1500,4000
41,13,Bhandardara,Maharashtra,Arthur Lake,Calm scenic lake,2,2,285.0,2600.0,120,450,1600,3600
42,13,Bhandardara,Maharashtra,Randha Falls,Large waterfall,2,2,300.0,3750.0,100,500,2000,5500
43,13,Bhandardara,Maharashtra,Wilson Dam,Historic dam,2,2,215.0,4000.0,80,350,1800,6200
44,14,Ajanta,Maharashtra,Ajanta Cave 1,Buddhist painting cave,2,2,325.0,2500.0,150,500,1200,3800
45,14,Ajanta,Maharashtra,Ajanta Cave 2,Ancient sculpture cave,2,2,300.0,2350.0,200,400,1500,3200
46,14,Ajanta,Maharashtra,Ajanta Viewpoint,Panoramic cave view,2,2,225.0,3500.0,100,350,1800,5200
47,15,Ellora,Maharashtra,Kailasa Temple,Monolithic rock temple,2,2,400.0,2500.0,200,600,1400,3600
48,15,Ellora,Maharashtra,Ellora Cave 10,Buddhist cave,2,2,250.0,2300.0,150,350,1200,3400
49,15,Ellora,Maharashtra,Ellora Cave 16,Hindu cave temple,2,2,400.0,2900.0,250,550,1600,4200
50,16,Aurangabad,Maharashtra,Bibi Ka Maqbara,Mughal monument,2,2,290.0,2300.0,180,400,1400,3200
51,16,Aurangabad,Maharashtra,Aurangabad Caves,Rock cut caves,2,2,225.0,2400.0,100,350,1300,3500
52,16,Aurangabad,Maharashtra,Daulatabad Fort,Historic hill fort,2,2,325.0,3300.0,150,500,1800,4800
