food_id,spot_id,place_id,place_name,spot_name,food_place_name,price_per_person,budget_range
1,1,1,Mahabaleshwar,Venna Lake,Venna Lake Snacks Corner,150,low
2,1,1,Mahabaleshwar,Venna Lake,Strawberry Treat Cafe,350,mid
3,1,1,Mahabaleshwar,Venna Lake,Lakeside Restaurant,700,high
4,2,1,Mahabaleshwar,Arthur Seat,Arthur View Tea Stall,100,low
5,2,1,Mahabaleshwar,Arthur Seat,Hilltop Dining Point,400,mid
6,3,1,Mahabaleshwar,Wilson Point,Sunrise Maggie Point,120,low
7,3,1,Mahabaleshwar,Wilson Point,Wilson Cafe,300,mid
8,4,1,Mahabaleshwar,Mapro Garden,Mapro Food Court,350,mid
9,4,1,Mahabaleshwar,Mapro Garden,Fresh Farm Eatery,600,high
10,5,2,Lonavala,Bhushi Dam,Bhushi Vada Pav Stall,80,low
11,5,2,Lonavala,Bhushi Dam,Dam View Snacks,150,low
12,5,2,Lonavala,Bhushi Dam,Waterfall Cafe,450,mid
13,6,2,Lonavala,Lion Point,Lion Point Chai Tapri,70,low
14,6,2,Lonavala,Lion Point,Valley View Restaurant,500,mid
15,7,2,Lonavala,Rajmachi Point,Rajmachi Bhojanalay,200,low
16,7,2,Lonavala,Rajmachi Point,Trekker's Cafe,400,mid
17,8,2,Lonavala,Karla Caves,Karla Cave Snacks,120,low
18,8,2,Lonavala,Karla Caves,Ancient Rock Cafe,350,mid
19,9,3,Khandala,Duke Nose,Duke Nose Tea Point,90,low
20,9,3,Khandala,Duke Nose,Cliffside Restaurant,550,mid
21,10,3,Khandala,Amrutanjan Point,Amrutanjan Maggie Point,100,low
22,10,3,Khandala,Amrutanjan Point,Valley Food Shack,250,low
23,11,3,Khandala,Shooting Point,Shooting Point Cafe,300,mid
24,11,3,Khandala,Shooting Point,Film City Diner,600,high
25,12,4,Matheran,Panorama Point,Panorama View Snacks,120,low
26,12,4,Matheran,Panorama Point,Mountain Breeze Cafe,380,mid
27,13,4,Matheran,Charlotte Lake,Charlotte Lake Food Stall,150,low
28,13,4,Matheran,Charlotte Lake,Lakeview Restaurant,500,mid
29,14,4,Matheran,Echo Point,Echo Point Corn Stall,80,low
30,14,4,Matheran,Echo Point,Hill Echo Cafe,300,mid
31,15,4,Matheran,One Tree Hill,One Tree Hill Snacks,100,low
32,15,4,Matheran,One Tree Hill,Forest View Restaurant,450,mid
33,16,5,Alibaug,Alibaug Beach,Alibaug Beach Shack,250,low
34,16,5,Alibaug,Alibaug Beach,Sunset Coast Restaurant,700,high
35,17,5,Alibaug,Kolaba Fort,Kolaba Fort Tea Stall,80,low
36,17,5,Alibaug,Kolaba Fort,Sea Breeze Diner,400,mid
37,18,5,Alibaug,Varsoli Beach,Varsoli Seafood Shack,350,mid
38,18,5,Alibaug,Varsoli Beach,Beachside Thali House,600,high
39,19,5,Alibaug,Nagaon Beach,Nagaon Beach Snacks,200,low
40,19,5,Alibaug,Nagaon Beach,Water Sports Cafe,500,mid
41,20,6,Murud,Murud Janjira Fort,Janjira Fort Tea Stall,90,low
42,20,6,Murud,Murud Janjira Fort,Fort View Restaurant,450,mid
43,21,6,Murud,Murud Beach,Murud Beach Corn Point,100,low
44,21,6,Murud,Murud Beach,Seaside Family Restaurant,600,high
45,22,6,Murud,Datta Mandir,Local Temple Bhojanalay,180,low
46,22,6,Murud,Datta Mandir,Village Veg Mess,250,low
47,23,7,Tarkarli,Tarkarli Beach,Tarkarli Beach Shack,300,mid
48,23,7,Tarkarli,Tarkarli Beach,Scuba Cafe,650,high
49,24,7,Tarkarli,Devbagh Beach,Devbagh Seafood Hut,400,mid
50,24,7,Tarkarli,Devbagh Beach,Backwater Dining Deck,700,high
51,25,7,Tarkarli,Karli Backwaters,Karli River Snacks,120,low
52,25,7,Tarkarli,Karli Backwaters,Boat Ride Cafe,350,mid
53,26,8,Ganpatipule,Ganpatipule Temple,Ganpatipule Prasad Bhojanalay,150,low
